case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp4,liger_tp,48,4,0.2656249972060323,0.014066923570398737,0.5171830708416658
b300-tp4,liger_tp,49,4,0.3255208386108279,-0.0005174287023594348,0.6515591059240153
b300-tp4,liger_tp,50,4,0.3125000027939677,5.194294354288198e-05,0.6249480626443926
b300-tp4,liger_tp,51,4,0.2604166716337204,0.09857801469067415,0.4222553285767666
b300-tp4,liger_tp,52,4,0.2864583320915699,0.0924501058462697,0.48046655833687013
b300-tp4,liger_tp,53,4,0.4296874962747097,0.15419422547494765,0.7051807670744717
b300-tp4,liger_tp,54,4,0.3932291641831398,0.10858025876561278,0.6778780696006668
b300-tp4,liger_tp,55,4,0.3619791753590107,0.21349424223473526,0.5104641084832862
b300-tp4,liger_tp,56,4,0.4505208358168602,0.20866047617281494,0.6923811954609055
b300-tp4,liger_tp,57,4,0.447916679084301,0.24045008632361642,0.6553832718449856
b300-tp4,liger_tp,58,4,0.46875,0.27262908822897935,0.6648709117710206
b300-tp4,liger_tp,59,4,0.424479179084301,0.28358962399665044,0.5653687341719515
b300-tp4,liger_tp,60,4,0.5182291641831398,0.3354625576883102,0.7009957706779695
b300-tp4,liger_tp,61,4,0.4296874925494194,0.2464205025916239,0.6129544825072148
b300-tp4,liger_tp,62,4,0.4817708358168602,0.36119616722423314,0.6023455044094872
b300-tp4,liger_tp,63,4,0.4635416641831398,0.380665456735638,0.5464178716306416
b300-tp4,liger_tp,64,4,0.583333320915699,0.43694477604893917,0.7297218657824589
b300-tp4,liger_tp,65,4,0.3723958358168602,0.277298638186912,0.46749303344680837
b300-tp4,liger_tp,66,4,0.3515625,0.23328835073926446,0.46983664926073554
b300-tp4,liger_tp,67,4,0.4817708358168602,0.3524025337882297,0.6111391378454907
b300-tp4,liger_tp,68,4,0.640625,0.5416350541418684,0.7396149458581316
b300-tp4,liger_tp,69,4,0.5078125149011612,0.46020374549170034,0.5554212843106221
b300-tp4,liger_tp,70,4,0.5703125,0.46428706237286016,0.6763379376271398
b300-tp4,liger_tp,71,4,0.4843750149011612,0.4026112832330602,0.5661387465692621
b300-tp4,liger_tp,72,4,0.5312500074505806,0.4692311127532427,0.5932689021479185
b300-tp4,liger_tp,73,4,0.5937500149011612,0.509232536715728,0.6782674930865944
b300-tp4,liger_tp,74,4,0.3880208283662796,0.2622417955519336,0.5137998611806256
